"","Resample1"
"259",2698
"260",2714
"261",2728
"262",2747
"263",2764
"264",2765
"265",2771
"266",2779
"267",2791
"268",2799
"269",2823
"270",2845
"271",2853
"272",2859
"273",2869
"274",2872
"275",2879
"276",2885
"277",2905
"278",2919
"279",2932
"280",2935
"281",2951
"282",2962
"283",2985
"284",2999
"285",3000
"286",3005
"287",3007
"288",3016
"289",3019
"290",3034
"291",3038
"292",3051
"293",3053
"294",3058
"295",3076
"296",3082
"297",3107
"298",3109
"299",3111
"300",3158
"301",3171
"302",3175
"303",3189
"304",3190
"305",3198
"306",3230
"307",3235
"308",3241
"309",3245
"310",3247
"311",3255
"312",3263
"313",3266
"314",3283
"315",3291
"316",3321
"317",3325
"318",3330
"319",3369
"320",3375
"321",3386
"322",3395
"323",3397
"324",3415
"325",3420
"326",3438
"327",3447
"328",3462
"329",3463
"330",3471
"331",3472
"332",3476
"333",3477
"334",3486
"335",3492
"336",3495
"337",3501
"338",3513
"339",3521
"340",3568
"341",3569
"342",3590
"343",3612
"344",3637
"345",3679
"346",3684
"347",3706
"348",3722
"349",3734
"350",3754
"351",3758
"352",3778
"353",3793
"354",3798
"355",3799
"356",3801
"357",3804
"358",3810
"359",3812
"360",3839
"361",3844
"362",3846
"363",3860
"364",3869
"365",3873
"366",3883
"367",3905
"368",3909
"369",3916
"370",3931
"371",3945
"372",3957
"373",3959
"374",3966
"375",3968
"376",3976
"377",3990
"378",4040
"379",4044
"380",4054
"381",4068
"382",4096
"383",4110
"384",4117
"385",4130
"386",4145
"387",4152
"388",4167
"389",4169
"390",4170
"391",4183
"392",4195
"393",4201
"394",4210
"395",4215
"396",4244
"397",4254
"398",4256
"399",4266
"400",4268
"401",4274
"402",4277
"403",4280
"404",4292
"405",4298
"406",4307
"407",4308
"408",4309
"409",4311
"410",4331
"411",4364
"412",4369
"413",4378
"414",4388
"415",4399
"416",4404
"417",4405
"418",4408
"419",4427
"420",4488
"421",4507
"422",4512
"423",4513
"424",4518
"425",4537
"426",4546
"427",4564
"428",4567
"429",4568
"430",4573
"431",4582
"432",4602
"433",4607
"434",4617
"435",4620
"436",4626
"437",4627
"438",4636
"439",4639
"440",4646
"441",4650
"442",4666
"443",4673
"444",4681
"445",4686
"446",4691
"447",4700
"448",4706
"449",4719
"450",4740
"451",4742
"452",4747
"453",4748
"454",4752
"455",4756
"456",4762
"457",4763
"458",4765
"459",4773
"460",4779
"461",4796
"462",4801
"463",4804
"464",4805
"465",4810
"466",4838
"467",4841
"468",4854
"469",4879
"470",4903
"471",4904
"472",4917
"473",4928
"474",4929
"475",4938
"476",4948
"477",4950
"478",4957
"479",4967
"480",4976
"481",4979
"482",4984
"483",4987
"484",5001
"485",5019
"486",5029
"487",5034
"488",5042
"489",5049
"490",5068
"491",5077
"492",5080
"493",5091
"494",5109
"495",5116
"496",5118
"497",5121
"498",5122
"499",5137
"500",5146
"501",5150
"502",5155
"503",5169
"504",5172
"505",5180
"506",5184
"507",5185
"508",5191
"509",5223
"510",5225
"511",5248
"512",5251
"513",5253
"514",5275
"515",5278
"516",5282
"517",5285
"518",5310
"519",5317
"520",5327
"521",5337
"522",5351
"523",5358
"524",5359
"525",5360
"526",5361
"527",5386
"528",5413
"529",5417
"530",5443
"531",5446
"532",5469
"533",5473
"534",5478
"535",5479
"536",5493
"537",5495
"538",5505
"539",5508
"540",5525
"541",5532
"542",5538
"543",5548
"544",5564
"545",5565
"546",5580
"547",5609
"548",5610
"549",5626
"550",5632
"551",5645
"552",5653
"553",5661
"554",5681
"555",5689
"556",5707
"557",5708
"558",5717
"559",5733
"560",5742
"561",5786
"562",5798
"563",5799
"564",5800
"565",5802
"566",5816
"567",5818
"568",5821
"569",5843
"570",5846
"571",5853
"572",5863
"573",5868
"574",5884
"575",5892
"576",5895
"577",5899
"578",5917
"579",5933
"580",5943
"581",5951
"582",5954
"583",5960
"584",5962
"585",5967
"586",5971
"587",6030
"588",6033
"589",6055
"590",6056
"591",6073
"592",6078
"593",6081
"594",6087
"595",6102
"596",6106
"597",6120
"598",6127
"599",6132
"600",6135
"601",6145
"602",6148
"603",6173
"604",6185
"605",6186
"606",6203
"607",6205
"608",6231
"609",6235
"610",6237
"611",6254
"612",6286
"613",6291
"614",6325
"615",6327
"616",6334
"617",6336
"618",6344
"619",6365
"620",6377
"621",6384
"622",6394
"623",6400
"624",6401
"625",6406
"626",6409
"627",6424
"628",6444
"629",6459
"630",6468
"631",6472
"632",6479
"633",6482
"634",6488
"635",6502
"636",6504
"637",6515
"638",6517
"639",6538
"640",6549
"641",6556
"642",6573
"643",6595
"644",6606
"645",6625
"646",6626
"647",6629
"648",6635
"649",6642
"650",6648
"651",6651
"652",6652
"653",6664
"654",6675
"655",6699
"656",6706
"657",6711
"658",6714
"659",6732
"660",6742
"661",6754
"662",6767
"663",6786
"664",6807
"665",6825
"666",6839
"667",6880
"668",6908
"669",6912
"670",6924
"671",6934
"672",6955
"673",6963
"674",6966
"675",6970
"676",7006
"677",7016
"678",7022
"679",7023
"680",7025
"681",7026
"682",7032
"683",7038
"684",7049
"685",7056
"686",7057
"687",7067
"688",7077
"689",7080
"690",7085
"691",7113
"692",7124
"693",7151
"694",7155
"695",7157
"696",7165
"697",7167
"698",7177
"699",7181
"700",7183
"701",7184
"702",7186
"703",7207
"704",7210
"705",7231
"706",7232
"707",7260
"708",7264
"709",7270
"710",7271
"711",7312
"712",7318
"713",7322
"714",7326
"715",7327
"716",7332
"717",7352
"718",7367
"719",7368
"720",7391
"721",7396
"722",7397
"723",7413
"724",7417
"725",7420
"726",7440
"727",7455
"728",7463
"729",7464
"730",7467
"731",7468
"732",7491
"733",7493
"734",7501
"735",7507
"736",7517
"737",7523
"738",7533
"739",7537
"740",7554
"741",7556
"742",7563
"743",7573
"744",7577
"745",7585
"746",7592
"747",7609
"748",7612
"749",7624
"750",7632
"751",7633
"752",7645
"753",7666
"754",7669
"755",7684
"756",7689
"757",7699
"758",7705
"759",7727
"760",7739
"761",7745
"762",7746
"763",7758
"764",7773
"765",7775
"766",7789
"767",7797
"768",7817
"769",7823
"770",7845
"771",7851
"772",7856
"773",7859
"774",7860
"775",7865
"776",7869
"777",7878
"778",7880
"779",7910
"780",7912
"781",7915
"782",7933
"783",7942
"784",7947
"785",7948
"786",7954
"787",7958
"788",7966
"789",7975
"790",7981
"791",7984
"792",7990
"793",8011
"794",8019
"795",8023
"796",8030
"797",8037
"798",8043
"799",8061
"800",8080
"801",8094
"802",8112
"803",8115
"804",8128
"805",8139
"806",8147
"807",8164
"808",8180
"809",8191
"810",8197
"811",8203
"812",8207
"813",8212
"814",8219
"815",8240
"816",8257
"817",8272
"818",8284
"819",8316
"820",8349
"821",8356
"822",8359
"823",8363
"824",8375
"825",8401
"826",8402
"827",8404
"828",8409
"829",8413
"830",8420
"831",8423
"832",8430
"833",8438
"834",8442
"835",8448
"836",8453
"837",8467
"838",8469
"839",8475
"840",8477
"841",8485
"842",8490
"843",8503
"844",8524
"845",8526
"846",8542
"847",8547
"848",8552
"849",8555
"850",8562
"851",8563
"852",8574
"853",8575
"854",8594
"855",8622
"856",8629
"857",8631
"858",8637
"859",8641
"860",8651
"861",8654
"862",8680
"863",8704
"864",8706
"865",8728
"866",8738
"867",8750
"868",8756
"869",8760
"870",8771
"871",8773
"872",8789
"873",8792
"874",8799
"875",8805
"876",8810
"877",8816
"878",8818
"879",8836
"880",8860
"881",8879
"882",8881
"883",8885
"884",8886
"885",8890
"886",8894
"887",8907
"888",8910
"889",8916
"890",8922
"891",8972
"892",8973
"893",8976
"894",8983
"895",8994
"896",9022
"897",9032
"898",9040
"899",9047
"900",9052
"901",9053
"902",9059
"903",9061
"904",9062
"905",9073
"906",9088
"907",9091
"908",9092
"909",9093
"910",9106
"911",9121
"912",9124
"913",9125
"914",9143
"915",9146
"916",9155
"917",9164
"918",9175
"919",9180
"920",9187
"921",9191
"922",9204
"923",9214
"924",9224
"925",9225
"926",9226
"927",9239
"928",9247
"929",9257
"930",9263
"931",9273
"932",9274
"933",9278
"934",9295
"935",9307
"936",9313
"937",9330
"938",9340
"939",9350
"940",9355
"941",9376
"942",9395
"943",9424
"944",9439
"945",9441
"946",9470
"947",9475
"948",9486
"949",9535
"950",9572
"951",9586
"952",9596
"953",9630
"954",9644
"955",9651
"956",9663
"957",9682
"958",9685
"959",9691
"960",9726
"961",9732
"962",9742
"963",9744
"964",9749
"965",9751
"966",9786
"967",9788
"968",9803
"969",9840
"970",9850
"971",9860
"972",9886
"973",9894
"974",9906
"975",9933
"976",9941
"977",9957
"978",9963
"979",9965
"980",9981
"981",9987
"982",9990
"983",9995
"984",10021
"985",10028
"986",10039
"987",10040
"988",10044
"989",10047
"990",10058
"991",10096
"992",10110
"993",10127
"994",10128
"995",10135
"996",10137
"997",10147
"998",10148
"999",10151
"1000",10155
"1001",10156
"1002",10203
"1003",10212
"1004",10230
"1005",10235
"1006",10248
"1007",10256
"1008",10271
"1009",10282
"1010",10314
"1011",10320
"1012",10339
"1013",10342
"1014",10347
"1015",10349
"1016",10355
"1017",10359
"1018",10371
"1019",10384
"1020",10394
"1021",10420
"1022",10428
"1023",10434
"1024",10447
"1025",10448
"1026",10473
"1027",10493
"1028",10494
"1029",10496
"1030",10506
"1031",10507
"1032",10525
"1033",10530
"1034",10533
"1035",10546
"1036",10552
"1037",10554
"1038",10566
"1039",10568
"1040",10569
"1041",10581
"1042",10591
"1043",10592
"1044",10594
"1045",10595
"1046",10600
"1047",10609
"1048",10616
"1049",10634
"1050",10637
"1051",10654
"1052",10662
"1053",10667
"1054",10669
"1055",10687
"1056",10724
"1057",10732
"1058",10740
"1059",10749
"1060",10758
"1061",10759
"1062",10781
"1063",10793
"1064",10810
"1065",10818
"1066",10836
"1067",10848
"1068",10897
"1069",10912
"1070",10915
"1071",10929
"1072",10935
"1073",10938
"1074",10942
"1075",10951
"1076",10956
"1077",10975
"1078",11017
"1079",11033
"1080",11039
"1081",11047
"1082",11048
"1083",11075
"1084",11077
"1085",11090
"1086",11109
"1087",11114
"1088",11117
"1089",11121
"1090",11122
"1091",11145
"1092",11152
"1093",11156
"1094",11189
"1095",11194
"1096",11202
"1097",11203
"1098",11215
"1099",11216
"1100",11245
"1101",11246
"1102",11255
"1103",11258
"1104",11261
"1105",11272
"1106",11278
"1107",11288
"1108",11292
"1109",11309
"1110",11310
"1111",11311
"1112",11313
"1113",11317
"1114",11326
"1115",11354
"1116",11357
"1117",11376
"1118",11377
"1119",11380
"1120",11381
"1121",11383
"1122",11425
"1123",11429
"1124",11433
"1125",11441
"1126",11446
"1127",11455
"1128",11456
"1129",11464
"1130",11471
"1131",11472
"1132",11481
"1133",11501
"1134",11505
"1135",11514
"1136",11517
"1137",11518
"1138",11520
"1139",11535
"1140",11547
"1141",11556
"1142",11590
"1143",11608
"1144",11617
"1145",11631
"1146",11632
"1147",11633
"1148",11641
"1149",11648
"1150",11653
"1151",11659
"1152",11660
"1153",11685
"1154",11699
"1155",11709
"1156",11720
"1157",11733
"1158",11734
"1159",11737
"1160",11739
"1161",11740
"1162",11745
"1163",11753
"1164",11759
"1165",11766
"1166",11777
"1167",11809
"1168",11811
"1169",11817
"1170",11819
"1171",11828
"1172",11834
"1173",11835
"1174",11843
"1175",11851
"1176",11857
"1177",11863
"1178",11870
"1179",11872
"1180",11883
"1181",11924
"1182",11934
"1183",11955
"1184",11962
"1185",11969
"1186",11998
"1187",12003
"1188",12006
"1189",12011
"1190",12024
"1191",12025
"1192",12045
"1193",12049
"1194",12060
"1195",12078
"1196",12103
"1197",12110
"1198",12129
"1199",12138
"1200",12149
"1201",12152
"1202",12157
"1203",12169
"1204",12179
"1205",12185
"1206",12189
"1207",12192
"1208",12207
"1209",12228
"1210",12230
"1211",12251
"1212",12269
"1213",12274
"1214",12285
"1215",12295
"1216",12302
"1217",12318
"1218",12319
"1219",12321
"1220",12332
"1221",12333
"1222",12334
"1223",12340
"1224",12369
"1225",12375
"1226",12385
"1227",12387
"1228",12391
"1229",12395
"1230",12415
"1231",12419
"1232",12421
"1233",12424
"1234",12429
"1235",12430
"1236",12439
"1237",12445
"1238",12447
"1239",12458
"1240",12472
"1241",12497
"1242",12506
"1243",12514
"1244",12523
"1245",12534
"1246",12543
"1247",12552
"1248",12554
"1249",12571
"1250",12588
"1251",12592
"1252",12593
"1253",12604
"1254",12609
"1255",12616
"1256",12628
"1257",12641
"1258",12651
"1259",12660
"1260",12665
"1261",12673
"1262",12681
"1263",12697
"1264",12700
"1265",12709
"1266",12729
"1267",12741
"1268",12749
"1269",12757
"1270",12760
"1271",12764
"1272",12765
"1273",12776
"1274",12778
"1275",12779
"1276",12787
"1277",12814
"1278",12825
"1279",12840
"1280",12846
"1281",12857
"1282",12867
"1283",12871
"1284",12872
"1285",12874
"1286",12880
"1287",12912
"1288",12913
"1289",12914
"1290",12932
"1291",12934
"1292",12940
"1293",12943
"1294",12950
"1295",12954
"1296",12955
"1297",12958
"1298",12973
"1299",12988
"1300",12992
"1301",13019
"1302",13022
"1303",13031
"1304",13032
"1305",13035
"1306",13039
"1307",13044
"1308",13057
"1309",13067
"1310",13069
"1311",13092
"1312",13094
"1313",13097
"1314",13100
"1315",13101
"1316",13127
"1317",13149
"1318",13157
"1319",13160
"1320",13164
"1321",13173
"1322",13189
"1323",13192
"1324",13194
"1325",13207
"1326",13226
"1327",13228
"1328",13237
"1329",13238
"1330",13257
"1331",13262
"1332",13275
"1333",13276
"1334",13283
"1335",13292
"1336",13294
"1337",13299
"1338",13302
"1339",13303
"1340",13326
"1341",13338
"1342",13353
"1343",13354
"1344",13357
"1345",13393
"1346",13402
"1347",13425
"1348",13447
"1349",13454
"1350",13463
"1351",13490
"1352",13497
"1353",13514
"1354",13515
"1355",13531
"1356",13538
"1357",13550
"1358",13570
"1359",13572
"1360",13578
"1361",13585
"1362",13634
"1363",13639
"1364",13645
"1365",13650
"1366",13660
"1367",13677
"1368",13691
"1369",13696
"1370",13702
"1371",13728
"1372",13734
"1373",13740
"1374",13745
"1375",13751
"1376",13788
"1377",13795
"1378",13802
"1379",13823
"1380",13831
"1381",13839
"1382",13843
"1383",13845
"1384",13846
"1385",13850
"1386",13884
"1387",13887
"1388",13905
"1389",13911
"1390",13913
"1391",13916
"1392",13956
"1393",13957
"1394",13961
"1395",13975
"1396",13997
"1397",14002
"1398",14034
"1399",14041
"1400",14048
"1401",14061
"1402",14064
"1403",14069
"1404",14077
"1405",14081
"1406",14096
"1407",14115
"1408",14130
"1409",14136
"1410",14150
"1411",14170
"1412",14171
"1413",14172
"1414",14178
"1415",14180
"1416",14182
"1417",14186
"1418",14210
"1419",14216
"1420",14219
"1421",14222
"1422",14224
"1423",14232
"1424",14236
"1425",14306
"1426",14330
"1427",14332
"1428",14355
"1429",14358
"1430",14360
"1431",14379
"1432",14390
"1433",14393
"1434",14394
"1435",14411
"1436",14423
"1437",14426
"1438",14446
"1439",14466
"1440",14484
"1441",14496
"1442",14499
"1443",14503
"1444",14510
"1445",14522
"1446",14532
"1447",14533
"1448",14534
"1449",14542
"1450",14543
"1451",14547
"1452",14562
"1453",14564
"1454",14580
"1455",14590
"1456",14599
"1457",14600
"1458",14607
"1459",14608
"1460",14627
"1461",14628
"1462",14654
"1463",14656
"1464",14661
"1465",14679
"1466",14685
"1467",14688
"1468",14700
"1469",14713
"1470",14724
"1471",14733
"1472",14745
"1473",14763
"1474",14768
"1475",14776
"1476",14786
"1477",14803
"1478",14812
"1479",14820
"1480",14827
"1481",14831
"1482",14832
"1483",14837
"1484",14838
"1485",14854
"1486",14867
"1487",14872
"1488",14875
"1489",14889
"1490",14904
"1491",14922
"1492",14923
"1493",14937
"1494",14945
"1495",14951
"1496",14963
"1497",14982
"1498",15001
"1499",15015
"1500",15035
"1501",15050
"1502",15066
"1503",15080
"1504",15087
"1505",15094
"1506",15110
"1507",15119
"1508",15139
"1509",15140
"1510",15142
"1511",15150
"1512",15162
"1513",15174
"1514",15182
"1515",15187
"1516",15189
"1517",15193
"1518",15198
"1519",15209
"1520",15245
"1521",15254
"1522",15257
"1523",15266
"1524",15272
"1525",15275
"1526",15304
"1527",15322
"1528",15348
"1529",15369
"1530",15370
"1531",15378
"1532",15405
"1533",15425
"1534",15441
"1535",15464
"1536",15467
"1537",15469
"1538",15471
"1539",15485
"1540",15504
"1541",15507
"1542",15510
"1543",15517
"1544",15522
"1545",15523
"1546",15525
"1547",15538
"1548",15545
"1549",15561
"1550",15563
"1551",15565
"1552",15581
"1553",15635
"1554",15656
"1555",15663
"1556",15665
"1557",15683
"1558",15688
"1559",15691
"1560",15692
"1561",15711
"1562",15739
"1563",15740
"1564",15770
"1565",15771
"1566",15778
"1567",15779
"1568",15805
"1569",15811
"1570",15819
"1571",15828
"1572",15832
"1573",15834
"1574",15839
"1575",15849
"1576",15853
"1577",15857
"1578",15868
"1579",15871
"1580",15877
"1581",15882
"1582",15885
"1583",15889
"1584",15893
"1585",15901
"1586",15905
"1587",15925
"1588",15942
"1589",15944
"1590",15975
"1591",15979
"1592",15985
"1593",16006
"1594",16021
"1595",16029
"1596",16038
"1597",16046
"1598",16051
"1599",16052
"1600",16068
"1601",16073
"1602",16077
"1603",16129
"1604",16148
"1605",16155
"1606",16160
"1607",16232
"1608",16235
"1609",16243
"1610",16244
"1611",16252
"1612",16256
"1613",16257
"1614",16274
"1615",16276
"1616",16287
"1617",16315
"1618",16318
"1619",16323
"1620",16336
"1621",16343
"1622",16364
"1623",16378
"1624",16384
"1625",16392
"1626",16406
"1627",16414
"1628",16443
"1629",16454
"1630",16458
"1631",16460
"1632",16466
"1633",16471
"1634",16481
"1635",16506
"1636",16512
"1637",16519
"1638",16540
"1639",16546
"1640",16549
"1641",16551
"1642",16561
"1643",16575
"1644",16585
"1645",16588
"1646",16589
"1647",16598
"1648",16615
"1649",16630
"1650",16643
"1651",16645
"1652",16652
"1653",16672
"1654",16677
"1655",16679
"1656",16687
"1657",16691
"1658",16696
"1659",16718
"1660",16723
"1661",16730
"1662",16737
"1663",16739
"1664",16741
"1665",16744
"1666",16752
"1667",16756
"1668",16760
"1669",16764
"1670",16765
"1671",16770
"1672",16774
"1673",16785
"1674",16788
"1675",16789
"1676",16798
"1677",16803
"1678",16811
"1679",16813
"1680",16815
"1681",16820
"1682",16833
"1683",16836
"1684",16848
"1685",16854
"1686",16867
"1687",16883
"1688",16890
"1689",16893
"1690",16900
"1691",16906
"1692",16908
"1693",16910
"1694",16911
"1695",16914
"1696",16922
"1697",16932
"1698",16943
"1699",16962
"1700",16970
"1701",16980
"1702",16987
"1703",17006
"1704",17013
"1705",17031
"1706",17037
"1707",17040
"1708",17046
"1709",17070
"1710",17079
"1711",17089
"1712",17130
"1713",17150
"1714",17154
"1715",17157
"1716",17164
"1717",17167
"1718",17168
"1719",17182
"1720",17189
"1721",17205
"1722",17236
"1723",17238
"1724",17279
"1725",17288
"1726",17292
"1727",17312
"1728",17328
"1729",17335
"1730",17344
"1731",17381
"1732",17382
"1733",17395
"1734",17401
"1735",17407
"1736",17427
"1737",17434
"1738",17449
"1739",17491
"1740",17516
"1741",17520
"1742",17525
"1743",17530
"1744",17541
"1745",17543
"1746",17549
"1747",17562
"1748",17582
"1749",17598
"1750",17600
"1751",17603
"1752",17620
"1753",17623
"1754",17637
"1755",17645
"1756",17651
"1757",17665
"1758",17680
"1759",17698
"1760",17703
"1761",17715
"1762",17730
"1763",17743
"1764",17750
"1765",17763
"1766",17887
"1767",17890
"1768",17933
"1769",17944
"1770",17958
"1771",17980
"1772",17987
"1773",17992
"1774",17996
"1775",18031
"1776",18032
"1777",18067
"1778",18070
"1779",18075
"1780",18076
"1781",18082
"1782",18087
"1783",18088
"1784",18097
"1785",18108
"1786",18116
"1787",18118
"1788",18126
"1789",18131
"1790",18136
"1791",18138
"1792",18154
"1793",18158
"1794",18170
"1795",18179
"1796",18232
"1797",18235
"1798",18243
"1799",18251
"1800",18273
"1801",18283
"1802",18287
"1803",18297
"1804",18326
"1805",18329
"1806",18351
"1807",18357
"1808",18370
"1809",18377
"1810",18423
"1811",18427
"1812",18440
"1813",18444
"1814",18449
"1815",18456
"1816",18459
"1817",18485
"1818",18492
"1819",18493
"1820",18519
"1821",18520
"1822",18532
"1823",18533
"1824",18557
"1825",18562
"1826",18567
"1827",18568
"1828",18571
"1829",18575
"1830",18579
"1831",18580
"1832",18590
"1833",18594
"1834",18624
"1835",18626
"1836",18652
"1837",18674
"1838",18686
"1839",18694
"1840",18706
"1841",18715
"1842",18734
"1843",18739
"1844",18740
"1845",18752
"1846",18779
"1847",18781
"1848",18791
"1849",18798
"1850",18799
"1851",18803
"1852",18814
"1853",18821
"1854",18824
"1855",18842
"1856",18889
"1857",18895
"1858",18905
"1859",18907
"1860",18913
"1861",18947
"1862",18950
"1863",18953
"1864",18955
"1865",18964
"1866",18969
"1867",18972
"1868",18975
"1869",19006
"1870",19007
"1871",19020
"1872",19036
"1873",19044
"1874",19063
"1875",19079
"1876",19085
"1877",19104
"1878",19111
"1879",19132
"1880",19140
"1881",19153
"1882",19174
"1883",19180
"1884",19217
"1885",19225
"1886",19245
"1887",19247
"1888",19260
"1889",19271
"1890",19278
"1891",19283
"1892",19292
"1893",19313
"1894",19316
"1895",19322
"1896",19339
"1897",19373
"1898",19381
"1899",19393
"1900",19406
"1901",19417
"1902",19439
"1903",19453
"1904",19463
"1905",19466
"1906",19473
"1907",19474
"1908",19488
"1909",19505
"1910",19507
"1911",19520
"1912",19524
"1913",19539
"1914",19551
"1915",19566
"1916",19581
"1917",19601
"1918",19604
"1919",19611
"1920",19625
"1921",19634
"1922",19636
"1923",19637
"1924",19639
"1925",19650
"1926",19653
"1927",19708
"1928",19709
"1929",19715
"1930",19733
"1931",19774
"1932",19776
"1933",19785
"1934",19805
"1935",19814
"1936",19818
"1937",19842
"1938",19844
"1939",19852
"1940",19853
"1941",19854
"1942",19858
"1943",19876
"1944",19879
"1945",19882
"1946",19905
"1947",19917
"1948",19923
"1949",19928
"1950",19932
"1951",19936
"1952",19941
"1953",19949
"1954",19956
"1955",19959
"1956",19977
"1957",20012
"1958",20015
"1959",20020
"1960",20026
"1961",20062
"1962",20077
"1963",20119
"1964",20152
"1965",20161
"1966",20176
"1967",20191
"1968",20201
"1969",20206
"1970",20229
"1971",20232
"1972",20251
"1973",20267
"1974",20273
"1975",20276
"1976",20285
"1977",20291
"1978",20299
"1979",20371
"1980",20383
"1981",20401
"1982",20403
"1983",20406
"1984",20418
"1985",20422
"1986",20425
"1987",20462
"1988",20463
"1989",20469
"1990",20472
"1991",20476
"1992",20480
"1993",20485
"1994",20490
"1995",20493
"1996",20513
"1997",20520
"1998",20565
"1999",20566
"2000",20572
"2001",20582
"2002",20603
"2003",20610
"2004",20634
"2005",20657
"2006",20670
"2007",20674
"2008",20677
"2009",20680
"2010",20683
"2011",20686
"2012",20721
"2013",20728
"2014",20730
"2015",20750
"2016",20762
"2017",20794
"2018",20799
"2019",20802
"2020",20820
"2021",20833
"2022",20894
"2023",20897
"2024",20912
"2025",20915
"2026",20928
"2027",20935
"2028",20939
"2029",20963
"2030",20967
"2031",20973
"2032",20981
"2033",20983
"2034",20985
"2035",20986
"2036",20988
"2037",20999
"2038",21010
"2039",21011
"2040",21041
"2041",21050
"2042",21076
"2043",21080
"2044",21081
"2045",21100
"2046",21106
"2047",21114
"2048",21121
"2049",21130
"2050",21138
"2051",21142
"2052",21146
"2053",21151
"2054",21163
"2055",21176
"2056",21178
"2057",21179
"2058",21181
"2059",21186
"2060",21189
"2061",21209
"2062",21218
"2063",21224
"2064",21226
"2065",21239
"2066",21243
"2067",21247
"2068",21252
"2069",21254
"2070",21255
"2071",21265
"2072",21271
"2073",21281
"2074",21284
"2075",21291
"2076",21303
"2077",21316
"2078",21326
"2079",21341
"2080",21342
"2081",21344
"2082",21347
"2083",21349
"2084",21356
"2085",21362
"2086",21385
"2087",21386
"2088",21387
"2089",21389
"2090",21401
"2091",21405
"2092",21411
"2093",21415
"2094",21421
"2095",21439
"2096",21441
"2097",21443
"2098",21448
"2099",21469
"2100",21475
"2101",21492
"2102",21504
"2103",21505
"2104",21521
"2105",21531
"2106",21535
"2107",21537
"2108",21547
"2109",21563
"2110",21564
"2111",21569
"2112",21575
"2113",21584
"2114",21641
"2115",21657
"2116",21660
"2117",21664
"2118",21674
"2119",21677
"2120",21693
"2121",21700
"2122",21701
"2123",21729
"2124",21740
"2125",21746
"2126",21752
"2127",21754
"2128",21794
"2129",21795
"2130",21799
"2131",21811
"2132",21818
"2133",21833
"2134",21835
"2135",21841
"2136",21849
"2137",21850
"2138",21855
"2139",21888
"2140",21898
"2141",21901
"2142",21906
"2143",21917
"2144",21918
"2145",21945
"2146",21973
"2147",22007
"2148",22017
"2149",22038
"2150",22054
"2151",22066
"2152",22081
"2153",22092
"2154",22107
